target_year,forecast_year,forecast_quarter,ens_fc
1999,1999,1,2.1
2000,1999,1,2.5
1999,1999,2,2
2000,1999,2,2.5
1999,1999,3,2
2000,1999,3,2.6
1999,1999,4,2
2000,1999,4,2.8
2000,2000,1,3
2001,2000,1,3
2000,2000,2,3.3
2001,2000,2,3.095
2000,2000,3,3.5
2001,2000,3,3.2
2000,2000,4,3.5
2001,2000,4,3
2001,2001,1,2.73
2002,2001,1,2.8
2001,2001,2,2.5
2002,2001,2,2.7
2001,2001,3,2
2002,2001,3,2.5
2001,2001,4,1.5
2002,2001,4,1.6
2002,2002,1,1.3
2003,2002,1,2.6
2002,2002,2,1.3
2003,2002,2,2.7
2002,2002,3,1.2
2003,2002,3,2.5
2002,2002,4,0.8
2003,2002,4,1.8
2003,2003,1,1.45
2004,2003,1,2.3
2003,2003,2,1
2004,2003,2,2
2003,2003,3,0.6
2004,2003,3,1.7
2003,2003,4,0.5
2004,2003,4,1.6
2004,2004,1,1.8
2005,2004,1,2.3
2004,2004,2,1.6
2005,2004,2,2.2
2004,2004,3,1.8
2005,2004,3,2.2
2004,2004,4,1.9
2005,2004,4,2
2005,2005,1,1.8
2006,2005,1,2.1957703
2005,2005,2,1.6
2006,2005,2,2
2005,2005,3,1.4
2006,2005,3,1.85
2005,2005,4,1.3
2006,2005,4,1.725
2006,2006,1,2
2007,2006,1,1.9
2006,2006,2,2.1
2007,2006,2,1.9
2006,2006,3,2.2
2007,2006,3,1.9
2006,2006,4,2.6
2007,2006,4,2
2007,2007,1,2.1
2008,2007,1,2.1
2007,2007,2,2.5
2008,2007,2,2.3
2007,2007,3,2.7
2008,2007,3,2.3
2007,2007,4,2.6
2008,2007,4,2.0783253707182
2008,2008,1,1.8
2009,2008,1,2
2008,2008,2,1.6
2009,2008,2,1.6
2008,2008,3,1.65
2009,2008,3,1.3
2008,2008,4,1.2
2009,2008,4,0.3
2009,2009,1,-1.8
2010,2009,1,0.6
2009,2009,2,-3.3
2010,2009,2,0.3
2009,2009,3,-4.5
2010,2009,3,0.3
2009,2009,4,-3.9
2010,2009,4,1
2010,2010,1,1.1
2011,2010,1,1.5
2010,2010,2,1
2011,2010,2,1.5
2010,2010,3,1.1
2011,2010,3,1.4
2010,2010,4,1.6
2011,2010,4,1.43379525
2011,2011,1,1.6
2012,2011,1,1.7
2011,2011,2,1.7
2012,2011,2,1.7
2011,2011,3,2
2012,2011,3,1.6
2011,2011,4,1.6
2012,2011,4,0.9
2012,2012,1,0
2013,2012,1,1
2012,2012,2,-0.3
2013,2012,2,1
2012,2012,3,-0.3287148726
2013,2012,3,0.63332375
2012,2012,4,-0.5
2013,2012,4,0.3
2013,2013,1,-0.1
2014,2013,1,1.0248735294
2013,2013,2,-0.4
2014,2013,2,1
2013,2013,3,-0.6
2014,2013,3,0.9
2013,2013,4,-0.4
2014,2013,4,1
2014,2014,1,1
2015,2014,1,1.5
2014,2014,2,1.1
2015,2014,2,1.5
2014,2014,3,1
2015,2014,3,1.5
2014,2014,4,0.8
2015,2014,4,1.2
2015,2015,1,1.1
2016,2015,1,1.5
2015,2015,2,1.4
2016,2015,2,1.7
2015,2015,3,1.4571963161
2016,2015,3,1.8
2015,2015,4,1.5
2016,2015,4,1.7
2016,2016,1,1.7
2017,2016,1,1.8
2016,2016,2,1.5
2017,2016,2,1.625
2016,2016,3,1.5
2017,2016,3,1.5
2016,2016,4,1.6
2017,2016,4,1.4848439463
2017,2017,1,1.5
2018,2017,1,1.6
2017,2017,2,1.64684358
2018,2017,2,1.6
2017,2017,3,1.9
2018,2017,3,1.8
2017,2017,4,2.2
2018,2017,4,1.9
2018,2018,1,2.2
2019,2018,1,1.9
2018,2018,2,2.4
2019,2018,2,2
2018,2018,3,2.2
2019,2018,3,1.9
2018,2018,4,2
2019,2018,4,1.8
2019,2019,1,1.5
2020,2019,1,1.5
2019,2019,2,1.2
2020,2019,2,1.4
2019,2019,3,1.2
2020,2019,3,1.3
2019,2019,4,1.1
2020,2019,4,1
2020,2020,1,1.08868339255
2020,2020,2,-5
2021,2020,2,4.15
2020,2020,3,-8.3
2021,2020,3,5.895
2020,2020,4,-7.99195
2021,2020,4,5.4
2021,2021,1,4.3
2022,2021,1,3.95
2021,2021,2,4.1
2022,2021,2,4.0123040007
2021,2021,3,4.6
2022,2021,3,4.4
2021,2021,4,5.1
2022,2021,4,4.5
2022,2022,1,4.1
2023,2022,1,2.6
2022,2022,2,2.9
2023,2022,2,2.3462613839
2022,2022,3,2.8
2023,2022,3,1.7
2022,2022,4,3
2023,2022,4,0.2
2023,2023,1,0.2
2024,2023,1,1.4
2023,2023,2,0.67333994
2024,2023,2,1.2
2023,2023,3,0.6
2024,2023,3,1.1
2023,2023,4,0.5
2024,2023,4,0.9
2024,2024,1,0.6
2025,2024,1,1.4
2024,2024,2,0.5550135
2025,2024,2,1.4
2024,2024,3,0.753094165
2025,2024,3,1.4
2024,2024,4,0.7
2025,2024,4,1.20003428
